ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
S,3140102.0,1700487.0,39.75558866,-105.00169568,,1777.0,,,,Chestnut,Pl,,,,,Unit,1906,Unit,1906,1777 Chestnut Pl Unit 1906
S,3140083.0,1700621.0,39.7559564,-105.00176038,,1777.0,,,,Chestnut,Pl,,,,,Unit,1926,Unit,1926,1777 Chestnut Pl Unit 1926
S,3140027.0,1700673.0,39.75609785,-105.00196129,,1777.0,,,,Chestnut,Pl,,,,,Unit,1934,Unit,1934,1777 Chestnut Pl Unit 1934
S,3140161.0,1700558.0,39.75578032,-105.00148499,,1777.0,,,,Chestnut,Pl,,,,,Unit,2216,Unit,2216,1777 Chestnut Pl Unit 2216
S,3140143.0,1700564.0,39.75579822,-105.00155122,,1777.0,,,,Chestnut,Pl,,,,,Unit,2418,Unit,2418,1777 Chestnut Pl Unit 2418
S,3140129.0,1700517.0,39.75566928,-105.00160125,,1777.0,,,,Chestnut,Pl,,,,,Unit,2110,Unit,2110,1777 Chestnut Pl Unit 2110
S,3140100.0,1700607.0,39.75591564,-105.00170139,,1777.0,,,,Chestnut,Pl,,,,,Unit,1924,Unit,1924,1777 Chestnut Pl Unit 1924
S,3140114.0,1700516.0,39.75566611,-105.00165546,,1777.0,,,,Chestnut,Pl,,,,,Unit,1501,Unit,1501,1777 Chestnut Pl Unit 1501
S,3140161.0,1700558.0,39.75578073,-105.00148607,,1777.0,,,,Chestnut,Pl,,,,,Unit,1516,Unit,1516,1777 Chestnut Pl Unit 1516
S,3140093.0,1700486.0,39.75558493,-105.00173075,,1777.0,,,,Chestnut,Pl,,,,,Unit,1605,Unit,1605,1777 Chestnut Pl Unit 1605
S,3140083.0,1700622.0,39.75595728,-105.00176021,,1777.0,,,,Chestnut,Pl,,,,,Unit,1426,Unit,1426,1777 Chestnut Pl Unit 1426
S,3140028.0,1700663.0,39.75607059,-105.00195639,,1777.0,,,,Chestnut,Pl,,,,,Unit,1533,Unit,1533,1777 Chestnut Pl Unit 1533
S,3140092.0,1700486.0,39.7555835,-105.00173138,,1777.0,,,,Chestnut,Pl,,,,,Unit,1505,Unit,1505,1777 Chestnut Pl Unit 1505
S,3140083.0,1700622.0,39.75595688,-105.00176161,,1777.0,,,,Chestnut,Pl,,,,,Unit,2226,Unit,2226,1777 Chestnut Pl Unit 2226
S,3140068.0,1700622.0,39.75595799,-105.00181393,,1777.0,,,,Chestnut,Pl,,,,,Unit,1329,Unit,1329,1777 Chestnut Pl Unit 1329
S,3137343.0,1703015.0,39.76256853,-105.0114604,,3215.0,,,N,Tejon,St,,,,,Unit,502,Unit,502,3215 N Tejon St Unit 502
S,3137260.0,1702875.0,39.76218444,-105.01176012,,3215.0,,,N,Tejon,St,,,,,Unit,415,Unit,415,3215 N Tejon St Unit 415
S,3137359.0,1702907.0,39.76227161,-105.01140504,,3215.0,,,N,Tejon,St,,,,,Unit,307,Unit,307,3215 N Tejon St Unit 307
S,3139419.0,1701066.0,39.75718638,-105.00411616,,1750.0,,,,Little Raven,St,,,,,Unit,461,Unit,461,1750 Little Raven St Unit 461
S,3137246.0,1702959.0,39.7624165,-105.01180605,,3215.0,,,N,Tejon,St,,,,,Unit,518,Unit,518,3215 N Tejon St Unit 518
S,3137233.0,1702875.0,39.76218673,-105.01185397,,3215.0,,,N,Tejon,St,,,,,Unit,317,Unit,317,3215 N Tejon St Unit 317
S,3137339.0,1702876.0,39.76218542,-105.01147913,,3215.0,,,N,Tejon,St,,,,,Unit,511,Unit,511,3215 N Tejon St Unit 511
S,3137233.0,1702915.0,39.76229564,-105.01185506,,3215.0,,,N,Tejon,St,,,,,Unit,423,Unit,423,3215 N Tejon St Unit 423
